1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
373	-1.486518	10.480590	0.003761	28.1
374	-1.489563	10.465738	0.004069	28.0
375	-1.505249	10.450941	0.003876	26.7
376	-1.509236	10.436200	0.003838	26.9
377	-1.493227	10.421515	0.004143	27.3
378	-1.497461	10.406884	0.003958	26.7
379	-1.477197	10.392307	0.003985	26.4
380	-1.502780	10.377785	0.003873	26.9
381	-1.497894	10.363317	0.003907	29.8
382	-1.513570	10.348902	0.003885	26.9
383	-1.491312	10.334541	0.004060	26.7
384	-1.496764	10.320232	0.003765	30.2
385	-1.501057	10.305976	0.004019	27.1
386	-1.493802	10.291772	0.003802	26.8
387	-1.495116	10.277620	0.004150	26.8
388	-1.523222	10.263520	0.004083	26.8
389	-1.502265	10.249472	0.003770	26.9
390	-1.491024	10.235474	0.003912	26.8
391	-1.479639	10.221527	0.003881	26.9
392	-1.497644	10.207631	0.003897	26.8
393	-1.501445	10.193784	0.003935	26.7
394	-1.502500	10.179988	0.003827	26.8
395	-1.497121	10.166241	0.003959	27.1
396	-1.496665	10.152544	0.003805	28.1
397	-1.503843	10.138895	0.003964	27.0
398	-1.506646	10.125295	0.003905	26.7
399	-1.501267	10.111744	0.003992	30.4
400	-1.492406	10.098241	0.003932	27.6
401	-1.491758	10.084785	0.003921	27.7
402	-1.489332	10.071377	0.003823	26.9
403	-1.523975	10.058017	0.004019	26.8
404	-1.518465	10.044704	0.004014	27.0
405	-1.509640	10.031437	0.003792	27.5
406	-1.511593	10.018217	0.003959	27.4
407	-1.496698	10.005043	0.004045	27.1
408	-1.498999	9.991916	0.003898	27.9
409	-1.485843	9.978834	0.003892	27.3
410	-1.501412	9.965797	0.003879	26.9
411	-1.512427	9.952806	0.003862	26.6
412	-1.501968	9.939859	0.003817	27.1
413	-1.503895	9.926958	0.003946	27.0
414	-1.502768	9.914100	0.003934	27.0
415	-1.488394	9.901287	0.003649	28.1
416	-1.496245	9.888518	0.004019	29.4
417	-1.504543	9.875793	0.003897	26.6
418	-1.492720	9.863111	0.003843	27.0
419	-1.498199	9.850473	0.004025	27.4
420	-1.486093	9.837877	0.003939	26.7
421	-1.499100	9.825325	0.003972	27.1
422	-1.511523	9.812814	0.004013	26.8
423	-1.519797	9.800346	0.003807	26.7
424	-1.500665	9.787921	0.004051	26.7
425	-1.509623	9.775537	0.003873	27.0
426	-1.497943	9.763194	0.003805	26.9
427	-1.506335	9.750893	0.003747	26.9
428	-1.506033	9.738633	0.004057	27.3
429	-1.509620	9.726414	0.003646	27.1
430	-1.504647	9.714236	0.003747	28.9
431	-1.502937	9.702098	0.003686	26.7
432	-1.509642	9.690001	0.004038	27.4
433	-1.512879	9.677944	0.003968	26.9
434	-1.513982	9.665926	0.003798	27.8
435	-1.502203	9.653948	0.003898	27.7
436	-1.518391	9.642010	0.003902	30.0
437	-1.514468	9.630110	0.003965	27.1
438	-1.503347	9.618250	0.003661	26.9
439	-1.505669	9.606428	0.003817	26.9
440	-1.490096	9.594645	0.003657	26.7
441	-1.479632	9.582901	0.003670	27.1
442	-1.502507	9.571195	0.003792	27.8
443	-1.511695	9.559526	0.003884	27.0
444	-1.480040	9.547896	0.003772	26.9
445	-1.504623	9.536303	0.003709	27.0
446	-1.498802	9.524747	0.003774	27.5
447	-1.509441	9.513228	0.003878	27.0
448	-1.507061	9.501747	0.003864	26.9
449	-1.501382	9.490302	0.003898	27.9
450	-1.512155	9.478894	0.003847	26.9
451	-1.500399	9.467523	0.003863	27.6
452	-1.513468	9.456187	0.003887	26.9
453	-1.500099	9.444888	0.003687	27.0
454	-1.521593	9.433624	0.003937	27.1
455	-1.509055	9.422397	0.003887	26.6
456	-1.518931	9.411204	0.003675	26.7
457	-1.515488	9.400047	0.003829	27.0
458	-1.520688	9.388925	0.003670	26.7
459	-1.531763	9.377838	0.003953	26.8
460	-1.502778	9.366786	0.003684	26.9
461	-1.506621	9.355769	0.003666	26.7
462	-1.491613	9.344786	0.003581	27.0
463	-1.478950	9.333837	0.003560	27.0
464	-1.507919	9.322922	0.003850	28.6
