1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
289	-1.056698	187.574164	2.472598	0.003785	36.2
290	-1.052996	187.560490	2.472761	0.004223	20.0
291	-1.053547	187.549895	2.472886	0.011250	24.3
292	-1.053090	187.536221	2.473048	0.001392	19.9
293	-1.052465	187.633953	2.471890	0.009576	19.3
294	-1.058348	187.657082	2.471616	0.007144	24.9
295	-1.054695	188.657082	2.459827	0.004609	28.7
296	-1.045227	188.668629	2.459692	0.003774	30.6
297	-1.055659	188.666328	2.459719	0.005710	21.2
298	-1.058682	188.652671	2.459879	0.006362	34.6
299	-1.054826	188.638998	2.460039	0.004469	36.7
300	-1.047610	188.756840	2.458657	0.003934	31.6
301	-1.054265	188.743322	2.458816	0.006667	27.7
302	-1.053475	188.731135	2.458958	0.011411	36.4
303	-1.048958	189.731135	2.447290	0.003977	32.9
304	-1.046847	190.731135	2.435731	0.005265	29.6
305	-1.054461	190.717466	2.435889	0.002695	36.8
306	-1.035556	191.035639	2.432233	0.006980	36.7
307	-1.051822	191.421358	2.427817	0.006781	30.6
308	-1.063857	192.421356	2.416441	0.004439	36.3
309	-1.036290	193.419999	2.405187	0.004320	31.8
310	-1.042596	193.513971	2.404133	0.002077	25.3
311	-1.047104	193.505986	2.404223	0.003797	32.0
312	-1.057930	193.647655	2.402636	0.003181	36.8
313	-1.043475	193.874824	2.400096	0.006841	36.7
314	-1.054111	193.862134	2.400237	0.005151	36.3
315	-1.047133	194.862109	2.389118	0.004049	37.7
316	-1.057394	194.999677	2.387597	0.005603	35.3
317	-1.046411	195.997386	2.376619	0.002040	32.7
318	-1.045995	195.985508	2.376749	0.003973	37.6
319	-1.060387	195.976136	2.376852	0.005996	22.2
320	-1.055501	196.974332	2.365967	0.006521	19.7
321	-1.059051	197.974310	2.355163	0.007681	23.2
322	-1.056779	198.974310	2.344456	0.007545	19.7
323	-1.045996	198.960636	2.344602	0.018815	24.6
324	-1.047860	199.960636	2.333991	0.010035	22.5
325	-1.046349	200.960636	2.323476	0.009512	19.5
326	-1.046786	201.960636	2.313055	0.004156	19.7
327	-1.059635	202.960630	2.302727	0.008153	19.8
328	-1.060495	202.947093	2.302866	0.003322	19.4
329	-1.047105	202.933419	2.303007	0.011566	20.5
330	-1.054758	203.933317	2.292769	0.003785	19.9
331	-1.041878	204.933310	2.282621	0.004273	19.9
332	-1.053147	205.000021	2.281947	0.005479	20.1
333	-1.050980	205.934571	2.272550	0.005828	20.7
334	-1.054478	205.922457	2.272671	0.013360	19.6
335	-1.047611	205.908785	2.272808	0.009108	19.3
336	-1.048172	206.908785	2.262836	0.013704	19.6
337	-1.050647	207.022894	2.261703	0.012376	19.1
338	-1.056870	208.022894	2.251828	0.005986	19.7
339	-1.052421	209.022894	2.242038	0.006506	19.9
340	-1.058069	209.019861	2.242068	0.004516	19.4
341	-1.050758	210.002058	2.232535	0.007576	21.2
342	-1.056022	209.988702	2.232664	0.003087	19.8
343	-1.054140	209.976337	2.232783	0.018745	22.1
344	-1.046326	210.320964	2.229457	0.003186	19.6
345	-1.044953	210.307290	2.229589	0.009403	19.5
346	-1.048343	211.190372	2.221109	0.005535	19.8
347	-1.049848	212.176659	2.211714	0.006531	20.1
348	-1.054539	213.176655	2.202270	0.004222	20.0
349	-1.046379	214.176250	2.192909	0.008342	19.7
350	-1.047648	214.226264	2.192443	0.006872	24.9
351	-1.045716	215.226264	2.183162	0.006411	19.2
352	-1.053021	216.217348	2.174041	0.014933	19.4
353	-1.049506	216.203674	2.174166	0.005616	19.7
354	-1.053909	216.190000	2.174291	0.010046	19.9
355	-1.057553	216.190896	2.174283	0.008020	20.4
356	-1.054930	216.177233	2.174408	0.011421	21.2
357	-1.046930	217.177232	2.165279	0.006406	23.9
358	-1.056819	218.177232	2.156226	0.015598	19.9
359	-1.058259	218.163558	2.156349	0.006665	19.3
360	-1.047182	219.163531	2.147371	0.015529	19.6
361	-1.046860	220.163521	2.138467	0.012117	20.1
362	-1.052158	220.149846	2.138588	0.008862	19.9
363	-1.063102	221.116997	2.130045	0.016255	20.2
364	-1.057612	222.116997	2.121284	0.004547	19.6
365	-1.049294	222.103323	2.121403	0.014980	21.6
366	-1.049978	223.103323	2.112713	0.005449	19.9
367	-1.045540	224.103323	2.104093	0.011502	20.2
368	-1.051795	224.089649	2.104210	0.009490	21.3
369	-1.055742	225.089649	2.095660	0.014681	21.3
370	-1.055850	226.089649	2.087178	0.009265	20.2
371	-1.051929	227.089649	2.078765	0.010386	19.6
372	-1.055754	228.089649	2.070420	0.013227	19.5
373	-1.039803	229.089649	2.062141	0.002856	19.4
374	-1.055305	230.077648	2.054027	0.004917	19.9
375	-1.053507	230.071231	2.054079	0.008810	19.4
376	-1.051604	230.057557	2.054191	0.007688	19.8
377	-1.046852	231.057552	2.046041	0.006354	20.1
378	-1.048203	231.043878	2.046152	0.005350	19.4
379	-1.058979	231.060104	2.046021	0.003617	20.1
380	-1.054084	231.460208	2.042778	0.009503	19.7
381	-1.051054	232.292806	2.036063	0.010441	19.1
382	-1.049678	233.292806	2.028056	0.005772	19.5
383	-1.048777	233.279624	2.028162	0.002772	19.8
384	-1.062465	233.289094	2.028086	0.008873	19.9
385	-1.060133	233.438079	2.026898	0.010577	19.7
386	-1.049704	234.438079	2.018963	0.005580	19.7
387	-1.056550	234.871096	2.015547	0.005310	19.6
388	-1.052167	234.921508	2.015150	0.002561	22.5
389	-1.047325	234.907889	2.015257	0.013448	19.6
390	-1.055276	235.461572	2.010906	0.002708	19.3
391	-1.057744	236.461513	2.003096	0.008661	24.8
392	-1.057509	236.582907	2.002152	0.002456	19.2
393	-1.062796	236.623254	2.001838	0.008056	19.4
394	-1.053559	236.610392	2.001938	0.001488	19.6
395	-1.053594	236.597408	2.002039	0.005618	19.7
396	-1.051593	236.584653	2.002138	0.009299	19.7
397	-1.041621	236.570979	2.002245	0.009845	19.5
398	-1.055118	236.557305	2.002351	0.001915	19.2
399	-1.049300	236.544186	2.002453	0.006112	20.1
400	-1.055502	236.567382	2.002273	0.011157	20.7
401	-1.048298	236.553708	2.002379	0.005461	21.9
402	-1.053000	236.540034	2.002485	0.010533	19.8
403	-1.050593	236.526359	2.002592	0.006045	19.5
404	-1.057164	237.526359	1.994846	0.008173	19.6
405	-1.056983	237.512686	1.994951	0.008823	19.6
406	-1.058212	238.512686	1.987264	0.004528	19.8
407	-1.052350	239.512678	1.979636	0.011828	19.8
408	-1.048087	239.499004	1.979739	0.005380	20.0
409	-1.058713	239.485330	1.979843	0.012333	19.9
410	-1.058435	239.488728	1.979818	0.007721	19.8
411	-1.054488	240.488727	1.972246	0.010511	19.7
412	-1.063615	241.488727	1.964733	0.006018	20.2
413	-1.045347	241.475053	1.964835	0.006681	21.5
414	-1.053134	241.461898	1.964933	0.014914	21.9
415	-1.048312	242.461836	1.957476	0.003042	19.2
416	-1.053692	242.448162	1.957577	0.004185	19.6
417	-1.057130	242.886147	1.954328	0.004417	19.6
418	-1.050373	242.875556	1.954407	0.006121	19.7
419	-1.050266	242.863203	1.954498	0.011274	19.5
420	-1.054695	242.849529	1.954599	0.001879	19.7
421	-1.046032	242.839524	1.954674	0.009084	19.7
422	-1.054042	242.871293	1.954438	0.004635	19.6
423	-1.056253	243.179574	1.952158	0.013103	19.9
424	-1.048736	244.179574	1.944796	0.012579	19.6
425	-1.053177	245.179574	1.937490	0.006157	19.7
426	-1.053263	246.179574	1.930238	0.005719	19.5
427	-1.049269	246.166283	1.930334	0.013812	20.1
428	-1.056712	246.322638	1.929205	0.011219	20.0
429	-1.044768	246.308973	1.929304	0.004977	19.8
430	-1.055608	247.308605	1.922116	0.006946	19.4
431	-1.055201	248.306647	1.914992	0.009988	19.5
432	-1.052222	249.306611	1.907908	0.004854	19.9
433	-1.058200	249.382124	1.907375	0.011204	21.9
434	-1.051738	250.382122	1.900347	0.004371	19.8
435	-1.056101	251.382121	1.893370	0.003098	19.5
436	-1.047840	252.110859	1.888318	0.008076	23.9
437	-1.055020	253.108495	1.881445	0.004746	20.5
438	-1.049866	253.094864	1.881539	0.004834	19.8
439	-1.043320	253.081195	1.881633	0.004963	19.9
440	-1.047840	253.083631	1.881616	0.008680	19.5
441	-1.049191	254.083629	1.874776	0.007843	20.1
442	-1.042175	255.083629	1.867985	0.004233	19.7
443	-1.048191	255.069955	1.868078	0.005623	19.4
444	-1.049155	255.061594	1.868134	0.007601	19.8
445	-1.051777	256.061594	1.861392	0.015545	20.8
